Wavelength (nm), Intensity
3.156023295166213529e+02,1.185000000000000000e+03
3.158694418813349785e+02,1.158000000000000000e+03
3.161365445865187667e+02,1.147000000000000000e+03
3.164036376321465127e+02,1.149000000000000000e+03
3.166707210181922960e+02,1.193000000000000000e+03
3.169377947446299686e+02,1.158000000000000000e+03
3.172048588114334393e+02,1.168000000000000000e+03
3.174719132185766171e+02,1.192000000000000000e+03
3.177389579660334675e+02,1.189000000000000000e+03
3.180059930537778428e+02,1.154000000000000000e+03
3.182730184817837085e+02,1.156000000000000000e+03
3.185400342500249167e+02,1.183000000000000000e+03
3.188070403584756036e+02,1.201000000000000000e+03
3.190740368071094508e+02,1.136000000000000000e+03
3.193410235959004808e+02,1.162000000000000000e+03
3.196080007248226025e+02,1.184000000000000000e+03
3.198749681938497247e+02,1.201000000000000000e+03
3.201419260029557563e+02,1.155000000000000000e+03
3.204088741521146630e+02,1.174000000000000000e+03
3.206758126413002969e+02,1.169000000000000000e+03
3.209427414704866237e+02,1.169000000000000000e+03
3.212096606396475522e+02,1.162000000000000000e+03
3.214765701487570482e+02,1.166000000000000000e+03
3.217434699977890205e+02,1.155000000000000000e+03
3.220103601867173211e+02,1.179000000000000000e+03
3.222772407155158589e+02,1.137000000000000000e+03
3.225441115841585997e+02,1.189000000000000000e+03
3.228109727926195660e+02,1.167000000000000000e+03
3.230778243408724393e+02,1.186000000000000000e+03
3.233446662288914126e+02,1.152000000000000000e+03
3.236114984566502244e+02,1.168000000000000000e+03
3.238783210241228403e+02,1.169000000000000000e+03
3.241451339312832260e+02,1.177000000000000000e+03
3.244119371781051768e+02,1.145000000000000000e+03
3.246787307645627720e+02,1.174000000000000000e+03
3.249455146906298069e+02,1.150000000000000000e+03
3.252122889562803039e+02,1.167000000000000000e+03
3.254790535614880582e+02,1.161000000000000000e+03
3.257458085062270925e+02,1.200000000000000000e+03
3.260125537904713156e+02,1.166000000000000000e+03
3.262792894141945794e+02,1.180000000000000000e+03
3.265460153773709067e+02,1.125000000000000000e+03
3.268127316799740925e+02,1.167000000000000000e+03
3.270794383219782731e+02,1.160000000000000000e+03
3.273461353033570731e+02,1.175000000000000000e+03
3.276128226240846857e+02,1.147000000000000000e+03
3.278795002841347923e+02,1.189000000000000000e+03
3.281461682834814155e+02,1.150000000000000000e+03
3.284128266220985779e+02,1.180000000000000000e+03
3.286794752999600746e+02,1.148000000000000000e+03
3.289461143170399282e+02,1.168000000000000000e+03
3.292127436733118770e+02,1.163000000000000000e+03
3.294793633687500005e+02,1.181000000000000000e+03
3.297459734033282075e+02,1.172000000000000000e+03
3.300125737770203500e+02,1.172000000000000000e+03
3.302791644898003369e+02,1.158000000000000000e+03
3.305457455416421908e+02,1.188000000000000000e+03
3.308123169325198205e+02,1.156000000000000000e+03
3.310788786624070212e+02,1.161000000000000000e+03
3.313454307312778724e+02,1.170000000000000000e+03
3.316119731391061123e+02,1.184000000000000000e+03
3.318785058858658772e+02,1.146000000000000000e+03
3.321450289715308486e+02,1.165000000000000000e+03
3.324115423960751627e+02,1.144000000000000000e+03
3.326780461594726148e+02,1.181000000000000000e+03
3.329445402616971705e+02,1.163000000000000000e+03
